ulasan_clean,sentimen
halo pihak garena disini saya minta tolong kenapa akun saya di suspend permanent padahal saya tidak mengunakan progam ilegal atau cheat apapun itu saya hanya bermain normal dan bersih tapi kenapa tiba di baned,-1
developer kalau susah kembali mencari map lain jangan turun rank,-1
semakin aneh terlalu banyak karakter aktif,-1
tolong dong di benerin mas golwal orang nya bisa tembus sama plurunya bisa kenok padahal sudah di pasang golwal tolong di per baiki lagi,1
andai peak old keluar lagi dan glider tong merah aku bangga banget sama garena tolong lah semua itu di keluar in lagi garena,1
eh garena kalau luh sepi game tidak usah di kasih musuh yang sama tahu saya mau naik renk nih susah kalau mau game ramai ya tidak usah kasih fitur baru senjata yang tidak jelas kami pemain lama ya bagaimana tolong balas game gratis firee,-1
game ini banyak sekali kenangan nya yang tidak pernah terlupakan sedikit pun sampai saya sudah meng hapus game ini hati saya merasa ada di game ini kenangan ini terus menghantui saya sampai saya merasa cemas bagai mana keadaan teman saya yang ada di game tersebut dan saya merasa susah untuk tidur karena terpikir akan akan kenangan bersama teman saya yang tidak sengaja bertemu di game ini sangat berarti bagi saya dan terima kasih telah mempertemukan saya dengan teman saya,1
gema nya bagus banget saya suka banget kalau ada waktu luang suka ngepus tapi makin lama makin susah musuh nya dan jago tapi gema nya pokoknya seru banget,1
sangat bagus tapi saran saya lebih baik bagikan diamod gratis agar semua orang tidak menghabiskan uang,-1
we minimal ada bug baru tidak lu urusin bug nya error saat ingin unduh salah satu map crafland benerin minimal stress saya dari tadi tidak bisa main crafland harus unduh tapi ada notif error benerin minimal satu lagi bug vault saya mau ganti set di vault kok di suruh unduh dahulu padahal sudah di unduh ada notif error juga minimal kalau diperbarui urusin bug bukan event,-1
game anjingg banget sekarang makin tidak jelas kok war ada skit borr lagi war bahkan naik itu saya mohon di hilangin itu meresahkan bagi player css mohon tahu perasaan saya capek saya ngepush kalah terus karena naik seperti skit borr pas warr plss di hilangin itu fitur,-1
mohon maaf developer fitur tambahan titik yang ada di awm tolong dihilangkan karena saya sebagai user awm merasa terganggu dengan hal tersebut sama deteksi nya terlalu sensitif padahal saya cuman memanfaatkan fitur tapi kenapa di kasih pelanggaran perilaku tidak baik dan di kurangin point,1
makin diperbarui makin tidak jelas game ini apa an coba,1
game burikk padahal sudah hampir heroic dan padahal sudah kill orang nya tinggal tapi masa cuma naik sedikit memang game burikk,1
game tolol main ke room lain saya anjj padahal lagi main sama squad bahkan main ke orang tidak dikenal,-1
tolong buat garena kalau mau diperbarui jangan mode yang seperti ini jjr saja maps yang sekarang bikin sakit mata balikin maps kami seperti semula,-1
saya membuat keluhan atas saya itu sudah memakai data dan wifi sehingga saya tidak bisa masuk padahal disitu saya baru isi data dan tetap tidak masuk dan selalu keluar dari lobi dan keluar dari game saya mohon bug ini tolong di perbaiki lagi oke terima kasih,-1
semenjak diperbarui pasti saja makin berat suka ngestak tidak jelas,1
tolong minimal kalau update jangan di tambah hal yang tidak penting biar tidak berat dan bisa mencakup semua ponsel kayak dahulu perbaikan jaringn lagi dan bug kayak pesawat itu tidak pnting air drop kayak hujan buat saja game simpel yang natural kayak nyata tidak usah di buat berlebihan,-1
tolong hapus bug damage saya capek sama bug damage sudah headshot tidak mati,-1
makin lama ff makin tidak seru sudah ngekil dan sudah bermain cukup lama bahkan rankedqu yang trun tolong di perbaikan lagi,1
kenapa skin yang dahulu susah didapetin bahkan sekarang mudah didapetin jadi sia ngumpulin dengan susah payah,-1
kalau main cees pasti timnya pasti beronze padahal aku heroit memang bagus apdet nya tapi di perbaiki contoh beronzelawan beronze seperti,-1
garena jangan separti ini saya sudah selesai donload center tapi disuruh donload lagi dari awal jangan seperti ini garena,-1
umm bagaimana ya jelasin nyaa kalau malam suka lambat sendiri kenapa ya padahal sinyal bagus dan lancar loh tolong perbaikan tolong band citer dan yang memakai file satu lagi ketika saya bermain pelayanan pelanggan ranked kenapa saya tiba di mute whyy,1
garena kok akun aku tidak bisa main csr dan baru setelah diperbarui kecuali pas login ulang akun aku kalau login tidak bisa langsung ke baru ataupun csr harus login ulang dahulu baru bisa main baru dan csrnya itu kenapa garena,1
saya saat bermain game ini saya merasakan lambat parah padahal kouta saya masih banyak ngelagnya itu pas ketemu musuh lagi toolng garena di kondisikan ya,-1
tolong kasih musuh sama tim yang seimbang saya menang × dan mvp semua tapi pas main lagi × kalah akan tidak lucu,-1
banyak pemain cheat aku mau ge kill musuh masa musuh nya tidak mati bagai mana game mau garena pls saya pegen naik rengk lol garena tolol saya terus kalah garena gentot,-1
tambahkan fitur ganti kamera atau ubah posisi kamera atau semacam fov kamera begitu biar sensasi bermain game ini berbeda yang pasti tidak menghilangkan kualitas asli game ini,1
garena tolong lah sinyalnyaa ngeleg mulu kalau ada musu ngeleg tapi kalau tidak ada musuh tidak ngeleh game burik bandel old juga di kluari player old pada pensi tuh akun ke heck dan lain dahulu kulgar di pecat sekarang ganti apa lah tu saya jelas mending kulgar,-1
garena tolong lah di benerin bug sinyal merah terus dari awal game sampai akhir game merah terus padahal jaringan lagi bagus nya,1
gratis fire tidak seru mata saya jadi sakit tolong awannya di ganti jadi putih lagi garena flis biar seru lagi mata saya jadi sakit main nya awannya itu di ganti garena jadi putih lagi,-1
kalau di diperbarui jangan map nya saja yang di perbarui jaringan nya juga masa saya nonton bagus saja jaringan nya giliran main ff turun naik terus pin nya tidak jelas gem ff nya padahal penyimpananku tidak penuh loh kok masih lambat ya agak lain nih ff jadi malas saya main kalau seperti begini mah mending hapus saja gem tidak jelas,-1
request garena tolong dong di diperbarui baju yang bisa di edit nama sendiri pasti lebih keren,1
tolong adakan fitur pengurangan efek agar penggunaan handphone ram bisa main dengan nyaman penyimpanan sudah lega tapi tetap patah tolong optimalisasi akan lagi dan kurangi efek yang bertimbul besar,-1
kenapa saya kasih bintang lima karena dia seru dan bisa mabar dengan teman dan bisa top apa dan banyak bandel baru dan bagus dan bisa byon juga dan banyak map yang lain seperti kalahari nekstera bermuda dan banyak lagi yang lain,-1
tolong handphone saya sering lagi and patah jadi gem ini ringanin,-1
gem cepat lambat atau patah dan kalau logen lama bagai mana cara tidak getuh,-1
kalau ada tim afk atau keluar paksa tolong kasih shield buat rank tidak turun temurun terus buat baru cuma pemberitahuan mah kurang jujur agak kesel sama orang yang tukang afk kalau ada yang suka afk lebih dari kali di hukum saja tidak bisa main baru jam hukuman bgi saya itu terlalu rendah yang sudah ditetapkan ini rekomendasi biar yang sudah semangat naikin rank dapat kenyamanan shield dan juga kalau dapat kill tetapi mati di waktu dekat ksih bonus tambahan rank agar tidak menyebabkan kurangnya pemain,-1
minimal tolong diperbarui nanti di perbaiki es kepal nya saya sudah otomatis tapi pas saya tekan kadang mau kadang tidak tolong ya,1
kok kalau habis diperbarui besar besaran jadi aneh ya kayak akun tidak bisa login walauu sudah coba berkali kali tapi tetap tidak bisa tiba ada tulisan login success tolong di perbaikan jadi saya kasih bintang,1
minimal tolong di perbaikan ya sering terjadi membaca informasi game isu jaringan padahal buat yt dan lain lain itu lancar tapi kenapa pas login ff itu trjadi membaca informasi game itu sangat mengangu karena tidak bisa main samasekali,1
gamenya bagus sih tapi ada beberapa bug yang bikin aku kesel pertama paketan sudah ada tapi jaringan nya merah ke dua patah ke tiga suka unduh fails tolong di perbaikan pihak garena,1
gamenya seru banget dan banyak juga pilihan nya,-1
tolong garena hilang akan lah bug setiap kali saya main langsung keluar dari area pertempuran dan kalau lagi ada musuh jarigan kalau sudah mati bagus sudah jariganya tolong diperbarui nanti makin bagus ya,-1
gem ini sangat seru bisa memiliki teman baru,1
jadi begini saya baru main setelah saya pensi beberapa tahun dan bikin akun baru nah pas saya coba game ini rasanya beda banget saya masuk mode pelayanan pelanggan rank yang sekarang sudah rank gold bertemu player habis itu saya kalah bahkan dikasih bot bagaimana mau gg player sekarang senjata beberapa kali tembak langsung knock ves sudah saya upgrade sampai level masih tembus serasa cheater padahal bukan yang dahulu bisa mekanik sekarang bahkan langsung knock memang sesakit itu senjata sekarang mohon di perbaiki,1
game ini sangat ada perubahan saya tidak mau main game ini dahulu saya pernah main game ini sama teman saya tapi semenjak game ini di update teman teman saya sudah tidak main game ini lagi zaman ff yang dahulu tidaklah zaman sekarang banyak update dahulu seru sekarang tidak seru dahulu old sekarang new dahulu senang sekarang tidak senang jadi tolong kembalikan lah ff yang dahulu bukan yang sekarang,1
seru sih tapi aku mohon aku mau melihat baju musuh skin senjata musuh dan emot musuh di baru ranked pelayanan pelanggan ranked training sosial island,-1
