ulasan_clean,sentimen,,,,,,
halo pihak garena disini saya minta tolong kenapa akun saya di suspend permanent padahal saya tidak mengunakan progam ilegal atau cheat apapun itu saya hanya bermain normal dan bersih tapi kenapa tiba di baned,negatif,,,,,,
developer kalau susah kembali mencari map lain jangan turun rank,negatif,,,,,,
semakin aneh terlalu banyak karakter aktif,negatif,,,,,,
tolong dong di benerin mas golwal orang nya bisa tembus sama plurunya bisa kenok padahal sudah di pasang golwal tolong di per baiki lagi,positif,,,,,,
andai peak old keluar lagi dan glider tong merah aku bangga banget sama garena tolong lah semua itu di keluar in lagi garena,positif,,,,,,
eh garena kalau luh sepi game tidak usah di kasih musuh yang sama tahu saya mau naik renk nih susah kalau mau game ramai ya tidak usah kasih fitur baru senjata yang tidak jelas kami pemain lama ya bagaimana tolong balas game gratis firee,negatif,,,,,,
game ini banyak sekali kenangan nya yang tidak pernah terlupakan sedikit pun sampai saya sudah meng hapus game ini hati saya merasa ada di game ini kenangan ini terus menghantui saya sampai saya merasa cemas bagai mana keadaan teman saya yang ada di game tersebut dan saya merasa susah untuk tidur karena terpikir akan akan kenangan bersama teman saya yang tidak sengaja bertemu di game ini sangat berarti bagi saya dan terima kasih telah mempertemukan saya dengan teman saya,positif,,,,,,
gema nya bagus banget saya suka banget kalau ada waktu luang suka ngepus tapi makin lama makin susah musuh nya dan jago tapi gema nya pokoknya seru banget,positif,,,,,,
sangat bagus tapi saran saya lebih baik bagikan diamod gratis agar semua orang tidak menghabiskan uang,negatif,,,,,,
we minimal ada gangguan baru tidak lu urusin gangguan nya error saat ingin unduh salah satu map crafland benerin minimal stress saya dari tadi tidak bisa main crafland harus unduh tapi ada notif error benerin minimal satu lagi gangguan vault saya mau ganti set di vault kok di suruh unduh dahulu padahal sudah di unduh ada notif error juga minimal kalau diperbarui urusin gangguan bukan event,negatif,,,,,,
game anjingg banget sekarang makin tidak jelas kok war ada skit borr lagi war bahkan naik itu saya mohon di hilangin itu meresahkan bagi player css mohon tahu perasaan saya capek saya ngepush kalah terus karena naik seperti skit borr pas warr plss di hilangin itu fitur,negatif,,,,,,
gem nya bagus dan seru aku suka gem ini,netral,,,,,,
mohon maaf skin yang saya punya tidak terlihat sama saya tapi sama teman terlihat tolong atasin gangguan nya garena,negatif,,,,,,
