userName,score,at,content
Pengguna Google,1,2024-12-17 11:09:55,"Halo. pihak garena disini saya minta tolong kenapa akun saya di suspend permanent, Padahal saya tidak mengunakan progam ilegal atau cheat apapun itu, saya hanya bermain normal dan bersih tapi kenapa tiba - tiba di baned ?"
Pengguna Google,1,2024-12-17 08:58:35,developer kalo susah kembali nyari map lain jangan turun rank😡😡😡
Pengguna Google,1,2024-12-16 18:33:53,Semakin aneh terlalu banyak karakter aktif.
Pengguna Google,3,2024-12-16 17:49:49,Tolong dong di benerin mas golwal orng nya bisa tembus SMA plurunya bisa kenok pdhl udh di pasang golwal tolong di per baiki lagi
Pengguna Google,5,2024-12-16 17:15:48,Andai peak old keluar lagi dan glider tong merah aku bangga bangat sama Garena tolong la semua itu di keluarin lagi Garena
Pengguna Google,1,2024-12-16 16:41:01,Ehhh garena kalo luh sepi game gak usah di kasih musuh yang sama tau! Saya mau naik renk nih susah Kalo mau game rame yaa gak usah kasih fitur baru senjata yang gak jelas kami pemain lama ya gimana Tolong balas game free firee🙏
Pengguna Google,5,2024-12-16 16:33:10,game ini banyak sekali kenangan nya yang tak pernah terlupakan sedikit pun sampai saya sudah meng hapus game ini hati saya merasa ada di game ini kenangan ini terus menghantui saya sampai saya merasa cemas bagai mana keadaan teman saya yang ada di game tersebut dan saya merasa susah untuk tidur karena terpikir kan akan kenangan bersama teman teman saya yang tak sengaja bertemu di game ini sangat berarti bagi saya dan terima kasih telah mempertemukan saya dengan teman saya🥺
Pengguna Google,5,2024-12-16 16:24:53,Gema nya bagus banget saya suka banget kalo ada waktu luang suka ngepus tapi makin lama makin susah musuh nya dan jago tapi gema nya pokoknya seru banget
Pengguna Google,5,2024-12-16 16:02:36,"sangat bagus tapi, saran saya lebih baik bagikan diamod gratis agar semua orang tidak menghabiskan uang 🙏🙏"
Pengguna Google,1,2024-12-16 15:50:22,"We min ada bug baru gak lu urusin bug nya error saat ingin download salah satu map crafland,benerin min stress gw dari tadi gak bisa main crafland,harus download tapi ada notif error benerin min satu lagi bug vault,gw mau ganti set di vault kok di suruh unduh dulu padahal udah di unduh,ada notif error juga,min kalo update urusin bug bukan event😡😡😡."
Pengguna Google,1,2024-12-16 15:47:20,Game anjinggg bnget sekarang makin ga jelas kok war ada skit borrr lagi war malah naik itu gw mohon di hilangin itu meresahkan bagi player css mohon tau perasaan gw cape gw ngepush kalah terus karna naik kek skit borr pas warr plss di hilangin itu fitur
Pengguna Google,5,2024-12-16 15:43:38,gem nya bagus dan seru aku suka gem ini
Pengguna Google,4,2024-12-16 15:42:02,Mohon maaf skin yang saya punya tidak terlihat sama saya tapi sama temen terlihat tolong atasin bug nya Garena
Pengguna Google,3,2024-12-16 15:19:48,"Mohon maaf developer, fitur tambahan titik yang ada di AWM tolong dihilangkan karena saya sebagai user AWM merasa terganggu dengan hal tersebut sama deteksi nya terlalu sensitif padahal saya cuman memanfaatkan fitur tapi kenapa di kasih pelanggaran (perilaku tidak baik dan di kurangin -5% point)"
Pengguna Google,1,2024-12-16 15:01:04,Makin update makin gak jelas game ini apa an coba
Pengguna Google,1,2024-12-16 14:43:10,GAME BURIKKKKK PADAHAL UDAH HAMPIR HEROIC 2 DAN PADAHAL SUDAH KILL 4 ORANG NYA TINGGAL 10 TP MASA CUMA NAIK SEDIKIT EMANG GAME BURIKKKKKKKKK!!!!!!!!!!!!!!
Pengguna Google,1,2024-12-16 14:34:36,game tolol main ke room lain gua anjj padahal lagi main ama squad malah main ke org gk dikenal
Pengguna Google,1,2024-12-16 14:11:39,tolong buat garena.klu mau update jngan mode yg seperti ini..jjr aja maps yg sekarang bikin sakit mata..balikin maps kami seperti semula🙏🙏
Pengguna Google,1,2024-12-16 14:06:01,Saya membuat keluhan atas Saya itu sudah memakai data dan wifi sehingga saya tidak bisa masuk padahal disitu Saya baru isi data dan tetap tidak masuk dan selalu keluar dari lobi dan keluar dari game.saya mohon bug ini tolong diperbaiki lagi oke terimakasih
Pengguna Google,1,2024-12-16 14:03:53,"Semenjak update pasti aja makin berat, suka ngestak² ga jelas"
Pengguna Google,4,2024-12-16 13:58:40,"Sangat asyik di mainkan di waktu luang ,,mines ny sering ngelag"
Pengguna Google,5,2024-12-16 13:37:25,"Tolong min, kalo updet jangan di tmbah hal yg gk penting biar gk berat dan bisa mencakup smua ponsel kyak dulu, perbaiki jaringn, lag dan bug. Kayak pesawat itu gk pnting, air drop kyak hujan. buat aja game simpel yg natural kayak nyata. Gk usah di buat lebay,"
Pengguna Google,1,2024-12-16 13:30:44,tolong hapus bug damage saya cape sama bug damage udah headshot gak mati mati
Pengguna Google,2,2024-12-16 13:25:28,"Makin lama ff makin GK seru udah ngekil 5 dan udah bermain cukup lama malah rankedqu yg trun tolong di perbaiki lgi,,🙏"
Pengguna Google,1,2024-12-16 13:24:42,Kenapa skin-skin yang dulu susah didapetin malah sekarang mudah didapetin jadi sia-sia ngumpulin dengan susah payah😡
